"filename", "language", "TypeScript", "TypeScript React", "XML", "JSON with Comments", "SQL", "Prisma", "JSON", "JavaScript", "comment", "blank", "total"
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\server\prisma\migrations\20230307191321_updated\migration.sql", "SQL", 0, 0, 0, 0, -97, 0, 0, 0, -33, -31, -161
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\server\prisma\migrations\20230309214632_added\migration.sql", "SQL", 0, 0, 0, 0, -3, 0, 0, 0, -10, -3, -16
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\server\prisma\migrations\20230312183800_updated\migration.sql", "SQL", 0, 0, 0, 0, -2, 0, 0, 0, -8, -2, -12
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\server\prisma\migrations\20230317194347_changed\migration.sql", "SQL", 0, 0, 0, 0, -7, 0, 0, 0, -7, -1, -15
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\server\prisma\migrations\20230317223931_changed\migration.sql", "SQL", 0, 0, 0, 0, -6, 0, 0, 0, -13, -3, -22
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\server\prisma\migrations\20230402181959_added\migration.sql", "SQL", 0, 0, 0, 0, -15, 0, 0, 0, -5, -6, -26
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\server\prisma\migrations\20230402191338_added\migration.sql", "SQL", 0, 0, 0, 0, -1, 0, 0, 0, -1, -1, -3
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\server\prisma\schema.prisma", "Prisma", 0, 0, 0, 0, 0, -133, 0, 0, -2, -17, -152
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\server\src\controllers\Auth.controller.ts", "TypeScript", -36, 0, 0, 0, 0, 0, 0, 0, 0, -7, -43
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\server\src\controllers\Laundry.controller.ts", "TypeScript", -12, 0, 0, 0, 0, 0, 0, 0, 0, -3, -15
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\server\src\controllers\Reservation.controller.ts", "TypeScript", -93, 0, 0, 0, 0, 0, 0, 0, -6, -20, -119
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\server\src\controllers\Student.controller.ts", "TypeScript", -17, 0, 0, 0, 0, 0, 0, 0, 0, -4, -21
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\server\src\controllers\WashingMachine.controller.ts", "TypeScript", -56, 0, 0, 0, 0, 0, 0, 0, 0, -7, -63
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\server\src\interfaces\index.interface.ts", "TypeScript", -18, 0, 0, 0, 0, 0, 0, 0, 0, -2, -20
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\server\src\middleware\Auth.ts", "TypeScript", -48, 0, 0, 0, 0, 0, 0, 0, 0, -4, -52
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\server\src\routes\routes.ts", "TypeScript", -19, 0, 0, 0, 0, 0, 0, 0, 0, -2, -21
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\server\src\utils\ConvertKeys.ts", "TypeScript", -12, 0, 0, 0, 0, 0, 0, 0, 0, -3, -15
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\server\src\utils\ConvertTypes.ts", "TypeScript", -8, 0, 0, 0, 0, 0, 0, 0, 0, -2, -10
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\server\src\utils\mqttServer.ts", "TypeScript", -40, 0, 0, 0, 0, 0, 0, 0, -5, -13, -58
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\server\tsconfig.json", "JSON with Comments", 0, 0, 0, -12, 0, 0, 0, 0, -83, -9, -104
"Total", "-", 133, 2193, 13, -12, -136, -133, -4809, -574, -174, 202, -3297
