"filename", "language", "TypeScript React", "TypeScript", "XML", "comment", "blank", "total"
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\screens\Wash\History\History.styles.ts", "TypeScript", 0, 6, 0, 0, 1, 7
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\screens\Wash\History\History.tsx", "TypeScript React", 78, 0, 0, 0, 6, 84
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\screens\Wash\Reservations\Reservation.const.ts", "TypeScript", 0, 32, 0, 0, 8, 40
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\screens\Wash\Reservations\Reservation.styles.ts", "TypeScript", 0, 9, 0, 0, 3, 12
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\screens\Wash\Reservations\Reservations.tsx", "TypeScript React", 225, 0, 0, 1, 20, 246
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\screens\Wash\Tabs\WashTabs.styles.ts", "TypeScript", 0, 4, 0, 0, 1, 5
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\screens\Wash\Tabs\WashTabs.tsx", "TypeScript React", 178, 0, 0, 10, 20, 208
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\screens\Wash\UserWash\UserWash.styles.ts", "TypeScript", 0, 11, 0, 0, 3, 14
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\screens\Wash\UserWash\UserWash.tsx", "TypeScript React", 217, 0, 0, 5, 25, 247
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\screens\Wash\WashNavigator.tsx", "TypeScript React", 20, 0, 0, 0, 6, 26
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\store\DeviceStatus.ts", "TypeScript", 0, 9, 0, 0, 2, 11
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\store\LoginStore.ts", "TypeScript", 0, 14, 0, 0, 2, 16
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\store\ReservationStore.ts", "TypeScript", 0, 62, 0, 0, 7, 69
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\store\UserStore.ts", "TypeScript", 0, 22, 0, 0, 3, 25
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\supabase\supabase.config.ts", "TypeScript", 0, 5, 0, 0, 2, 7
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\types\assets.d.ts", "TypeScript", 0, 4, 0, 0, 1, 5
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\types\env.d.tsx", "TypeScript React", 8, 0, 0, 0, 1, 9
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\types\react-native-svg.d.ts", "TypeScript", 0, 7, 0, 0, 0, 7
"c:\Emil\Proiecte\JavaScript\React Native\smart-washing-machine\client\src\utils\Notifications.ts", "TypeScript", 0, 23, 0, 8, 3, 34
"Total", "-", 2339, 635, 13, 38, 391, 3416
